0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Year
94,Nikola Jokić,30,DEN,C,32,32,1106,36.0,.713,.275,.425,10.4,28.7,20.0,53.7,1.9,2.0,14.5,30.7,7.1,1.5,8.6,.375,12.2,4.3,16.4,5.1,,2026
95,Jaylon Tyson,23,CLE,SG,40,25,1098,15.6,.629,.438,.157,7.9,13.6,10.7,11.0,1.7,1.6,11.9,18.4,1.7,1.1,2.8,.124,0.8,-0.2,0.7,0.7,,2026
96,Donovan Clingan,21,POR,C,40,40,1095,19.4,.614,.360,.329,17.1,26.2,21.6,10.3,0.8,4.1,9.8,15.1,2.8,1.4,4.2,.183,2.1,-0.3,1.8,1.1,,2026
97,John Collins,28,LAC,PF,40,31,1094,15.8,.655,.347,.220,5.9,14.5,10.4,4.8,1.6,3.1,12.0,18.7,1.5,0.9,2.4,.103,0.0,-0.5,-0.5,0.4,,2026
98,Paolo Banchero,23,ORL,PF,32,32,1085,17.1,.550,.236,.472,3.3,25.3,14.2,22.7,1.0,1.8,13.1,27.0,0.6,1.4,1.9,.086,0.7,0.4,1.2,0.9,,2026
99,Stephon Castle,21,SAS,PG,35,35,1079,15.6,.556,.317,.493,4.0,13.4,8.7,33.0,2.0,0.8,19.1,25.7,0.5,1.5,2.0,.089,-0.4,0.6,0.2,0.6,,2026
100,Bruce Brown,29,DEN,SG,44,2,1077,9.8,.523,.235,.224,5.4,13.2,9.5,11.5,1.9,0.9,13.3,13.8,0.4,0.8,1.2,.054,-3.1,-0.3,-3.4,-0.4,,2026
101,Deandre Ayton,27,LAL,C,37,37,1076,18.5,.688,.000,.191,10.3,24.7,17.7,4.6,1.2,3.2,13.2,17.4,2.0,1.1,3.1,.137,0.1,-0.9,-0.8,0.3,,2026
102,Zach LaVine,30,SAC,SG,33,32,1074,14.6,.621,.471,.252,0.6,9.3,4.9,11.5,1.0,0.7,11.2,23.6,1.0,0.1,1.2,.051,0.5,-2.1,-1.6,0.1,,2026
103,Kyle Kuzma,30,MIL,PF,41,17,1067,13.5,.578,.301,.296,4.0,15.6,9.8,12.0,1.2,1.9,12.3,20.9,0.5,0.8,1.3,.060,-1.8,-1.0,-2.9,-0.2,,2026
104,De'Andre Hunter,28,CLE,SF,40,23,1062,11.8,.555,.494,.293,2.8,15.2,8.9,11.4,1.2,0.5,12.0,22.1,0.3,0.9,1.2,.056,-2.2,-1.3,-3.5,-0.4,,2026
105,Moses Moody,23,GSW,SG,43,32,1050,12.4,.583,.661,.187,3.8,10.1,6.9,8.6,1.8,2.2,8.8,17.3,0.9,1.1,2.0,.093,-0.4,-0.1,-0.5,0.4,,2026
106,Keldon Johnson,26,SAS,SF,44,0,1048,19.1,.661,.343,.297,8.7,19.0,13.9,7.9,1.5,0.4,8.7,19.4,2.7,1.4,4.1,.188,2.5,0.2,2.6,1.2,,2026
107,Jarace Walker,22,IND,PF,45,13,1044,9.2,.507,.523,.225,1.9,18.3,9.7,12.0,1.4,1.3,14.0,19.3,-1.0,1.0,-0.1,-0.003,-3.0,-0.4,-3.4,-0.4,,2026
108,Anfernee Simons,26,BOS,SG,43,0,1041,15.2,.581,.580,.139,2.5,8.5,5.5,14.6,1.0,0.5,8.4,23.1,1.9,0.6,2.5,.115,1.8,-1.5,0.3,0.6,,2026
109,Cedric Coward,22,MEM,SG,39,26,1037,15.5,.589,.423,.256,6.1,19.7,13.0,15.8,1.0,1.3,12.6,21.2,1.1,1.2,2.3,.106,0.6,0.0,0.6,0.7,,2026
110,Kyshawn George,22,WAS,SF,33,33,1031,13.7,.581,.456,.214,3.2,15.7,9.4,23.3,1.6,2.5,18.7,21.9,0.2,0.5,0.7,.030,-0.8,-0.6,-1.4,0.2,,2026
111,Jamal Shead,23,TOR,PG,46,7,1030,11.6,.498,.542,.231,1.8,7.5,4.6,32.7,2.2,0.6,15.7,16.6,0.6,1.1,1.7,.081,-1.7,0.0,-1.7,0.1,,2026
112,Reed Sheppard,21,HOU,SG,41,4,1026,16.4,.576,.576,.104,1.4,9.9,5.7,18.1,2.8,2.0,9.2,20.6,2.0,1.4,3.4,.158,1.7,1.7,3.4,1.4,,2026
113,Kel'el Ware,21,MIA,C,43,27,1023,20.0,.632,.335,.177,13.8,28.7,21.2,3.3,1.7,4.2,9.6,17.4,1.9,1.9,3.8,.181,1.9,0.2,2.1,1.1,,2026
114,Devin Vassell,25,SAS,SG,32,32,1020,12.8,.561,.563,.171,1.6,11.9,6.8,10.6,1.4,1.3,6.6,18.9,1.0,1.2,2.2,.102,-0.2,0.1,-0.2,0.5,,2026
115,Neemias Queta,26,BOS,C,41,41,1019,20.6,.668,.015,.365,13.4,23.1,18.3,7.4,1.8,5.3,10.9,15.1,2.8,1.7,4.5,.212,0.9,1.1,2.1,1.1,,2026
116,Bobby Portis,30,MIL,PF,43,6,1016,16.8,.591,.390,.087,6.1,24.5,15.4,10.1,1.2,0.7,8.4,22.7,0.9,1.0,1.9,.090,1.4,-1.5,-0.2,0.5,,2026
117,Kawhi Leonard,34,LAC,SF,30,30,1013,27.3,.633,.371,.319,3.2,18.0,10.8,19.6,3.3,1.8,8.7,32.2,2.9,1.3,4.2,.200,7.1,1.0,8.1,2.6,,2026
118,Josh Hart,30,NYK,SF,33,19,1001,15.9,.609,.435,.191,5.5,22.5,13.8,22.8,2.0,1.0,18.0,16.6,1.6,1.2,2.8,.134,1.1,1.5,2.7,1.2,,2026
119,Tre Jones,26,CHI,PG,37,20,993,18.5,.645,.210,.461,2.6,9.1,5.9,29.4,2.3,0.6,12.4,17.2,2.8,0.7,3.6,.172,0.9,0.4,1.3,0.8,,2026
120,Jalen Duren,22,DET,C,35,35,992,23.5,.662,.000,.481,15.8,26.3,21.1,9.9,1.5,3.2,13.7,22.6,2.6,2.0,4.7,.225,2.5,0.5,2.9,1.2,,2026
121,Draymond Green,35,GSW,PF,37,37,990,10.5,.546,.596,.170,3.2,20.9,12.0,26.7,1.5,2.4,26.1,17.2,-0.4,1.4,1.0,.047,-2.5,1.5,-1.0,0.2,,2026
122,Ausar Thompson,23,DET,SF,38,37,988,15.3,.534,.057,.384,9.0,16.1,12.6,13.8,3.1,3.1,12.8,18.4,0.6,2.0,2.6,.127,-1.4,2.5,1.1,0.8,,2026
123,Josh Giddey,23,CHI,PG,30,30,984,19.5,.578,.338,.371,3.9,24.8,14.5,39.5,1.3,1.0,17.7,25.9,1.3,1.0,2.3,.112,2.8,0.4,3.3,1.3,,2026
124,Vit Krejci,25,ATL,PG,42,7,983,11.3,.639,.785,.121,2.1,8.2,5.1,8.9,1.7,1.2,8.5,14.5,1.1,0.7,1.8,.086,-1.4,-0.5,-1.8,0.0,,2026
125,Moussa Diabaté,24,CHO,C,40,14,983,17.3,.642,.000,.597,17.1,20.9,19.0,8.1,1.5,3.8,12.7,12.1,2.3,1.2,3.5,.171,-0.2,0.4,0.1,0.5,,2026
