0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Year
14T,Michael Adams,25,DEN,0,1,800,0.001,82,33.9,13.9,2.7,6.1,2.0,0.2,.449,.367,.834,7.5,.130,1988
14T,Mark Aguirre,28,DAL,0,1,800,0.001,77,33.9,25.1,5.6,3.6,0.9,0.7,.475,.302,.770,8.8,.163,1988
14T,Adrian Dantley,32,DET,0,1,800,0.001,69,31.1,20.0,3.3,2.5,0.6,0.1,.514,.000,.860,9.4,.210,1988
14T,Buck Williams,27,NJN,0,1,800,0.001,70,37.7,18.3,11.9,1.6,1.0,0.6,.560,1.000,.668,7.6,.138,1988
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,1989
1,Magic Johnson,29,LAL,42.5,664.5,850,0.782,77,37.5,22.5,7.9,12.8,1.8,0.3,.509,.314,.911,16.1,.267,1989
2,Michael Jordan,25,CHI,27.5,598.8,850,0.704,81,40.2,32.5,8.0,8.0,2.9,0.8,.538,.276,.850,19.8,.292,1989
3,Karl Malone,25,UTA,5,362,850,0.426,80,39.1,29.1,10.7,2.7,1.8,0.9,.519,.313,.766,15.2,.233,1989
4,Patrick Ewing,26,NYK,8,200,850,0.235,80,36.2,22.7,9.3,2.4,1.5,3.5,.567,.000,.746,10.9,.181,1989
5,Hakeem Olajuwon,26,HOU,2,179.3,850,0.211,82,36.9,24.8,13.5,1.8,2.6,3.4,.508,.000,.696,12.4,.197,1989
6,Charles Barkley,25,PHI,0,94.3,850,0.111,79,39.1,25.8,12.5,4.1,1.6,0.8,.579,.216,.753,16.1,.250,1989
7,John Stockton,26,UTA,0,28,850,0.033,82,38.7,17.1,3.0,13.6,3.2,0.2,.538,.242,.863,15.6,.236,1989
8,Kevin Johnson,22,PHO,0,22,850,0.026,81,39.2,20.4,4.2,12.2,1.7,0.3,.505,.091,.882,12.2,.184,1989
9,Tom Chambers,29,PHO,0,20,850,0.024,81,37.1,25.7,8.4,2.9,1.1,0.7,.471,.326,.851,9.2,.146,1989
10,Mark Price,24,CLE,0,18,850,0.021,75,36.4,18.9,3.0,8.4,1.5,0.1,.526,.441,.901,11.3,.199,1989
11T,Brad Daugherty,23,CLE,0,4,850,0.005,78,36.2,18.9,9.2,3.7,0.8,0.5,.538,.333,.737,9.6,.164,1989
11T,Robert Parish,35,BOS,0,4,850,0.005,80,35.5,18.6,12.5,2.2,1.0,1.5,.570,,.719,10.5,.177,1989
13T,Mark Eaton,32,UTA,0,3,850,0.004,82,35.5,6.2,10.3,1.0,0.5,3.8,.462,,.660,6.6,.108,1989
13T,Moses Malone,33,ATL,0,3,850,0.004,81,35.5,20.2,11.8,1.4,1.0,1.2,.491,.000,.789,10.7,.178,1989
