0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Year
342,Mac McClung,27,IND,SG,3,0,11.3,2.3,6.0,.389,0.7,3.3,.200,1.7,2.7,.625,.444,1.0,1.3,.750,0.0,1.3,1.3,0.3,1.7,0.3,0.7,2.0,6.3,,2026
342,Mac McClung,27,CHI,SG,1,0,13.0,2.0,7.0,.286,0.0,2.0,.000,2.0,5.0,.400,.286,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,,2026
343,Steven Adams,32,HOU,C,32,11,22.8,2.2,4.3,.504,0.0,0.0,,2.2,4.3,.504,.504,1.5,2.5,.580,4.5,4.1,8.6,1.5,0.7,0.6,1.1,1.7,5.8,,2026
344,Dru Smith,28,MIA,SG,67,1,16.7,2.0,4.8,.417,0.6,1.9,.302,1.4,2.9,.492,.476,1.3,1.5,.832,0.9,1.7,2.6,2.7,1.5,0.3,0.8,1.6,5.8,,2026
345,Nick Smith Jr.,21,LAL,SG,25,1,12.7,2.2,5.3,.421,1.1,2.8,.391,1.2,2.6,.453,.523,0.3,0.4,.636,0.1,0.7,0.8,1.1,0.4,0.1,0.8,1.0,5.8,,2026
346,Dean Wade,29,CLE,PF,57,36,22.4,2.1,4.8,.432,1.2,3.4,.354,0.9,1.4,.617,.557,0.5,0.7,.711,0.9,3.3,4.2,1.5,0.8,0.4,0.3,1.6,5.8,,2026
347,Jalen Wilson,25,BRK,PF,48,1,14.7,1.9,4.8,.385,1.0,2.9,.355,0.8,1.9,.430,.491,1.1,1.5,.746,0.3,1.6,1.8,0.7,0.4,0.0,0.6,1.4,5.8,,2026
348,Goga Bitadze,26,ORL,C,56,3,14.9,2.3,3.4,.679,0.0,0.2,.182,2.3,3.2,.709,.684,1.0,1.5,.695,2.0,2.7,4.7,1.3,0.6,0.9,0.6,2.1,5.7,,2026
349,Karlo Matković,24,NOP,PF,62,2,14.7,2.3,3.8,.604,0.6,1.5,.422,1.7,2.3,.717,.685,0.5,0.7,.732,1.2,2.5,3.7,0.8,0.4,0.9,0.5,1.7,5.7,,2026
350,Jamaree Bouyea,26,PHO,PG,40,0,14.1,2.3,5.0,.457,0.5,1.7,.299,1.8,3.3,.538,.508,0.6,0.8,.710,0.4,1.4,1.8,1.7,0.7,0.4,0.6,0.9,5.6,,2026
351,Doug McDermott,34,SAC,SF,23,0,14.4,1.9,4.5,.423,1.7,4.1,.411,0.2,0.4,.556,.611,0.1,0.1,1.000,0.2,1.0,1.1,0.6,0.2,0.1,0.4,0.7,5.6,,2026
352,Sidy Cissoko,21,POR,SF,69,26,20.2,1.9,4.7,.402,0.9,2.8,.306,1.0,1.9,.541,.492,0.8,1.2,.651,0.9,1.5,2.4,1.6,0.7,0.4,1.0,2.6,5.5,,2026
353,Eric Gordon,37,PHI,SG,6,0,12.3,2.0,3.5,.571,1.3,2.3,.571,0.7,1.2,.571,.762,0.2,0.3,.500,0.2,0.2,0.3,0.5,0.7,0.2,0.5,0.5,5.5,,2026
354,Haywood Highsmith,29,PHO,SF,6,0,13.3,1.7,3.3,.500,1.3,2.2,.615,0.3,1.2,.286,.700,0.8,1.0,.833,1.0,1.2,2.2,1.2,0.7,0.0,0.0,1.3,5.5,,2026
355,Aaron Holiday,29,HOU,PG,49,1,13.5,1.9,4.6,.406,1.2,3.0,.388,0.7,1.6,.442,.533,0.7,0.8,.865,0.2,0.8,0.9,1.0,0.4,0.1,0.7,1.3,5.5,,2026
356,Spencer Jones,24,DEN,SF,64,37,22.1,2.1,4.1,.504,0.9,2.3,.396,1.2,1.8,.636,.613,0.5,0.8,.608,1.2,2.1,3.3,0.8,0.8,0.5,0.5,2.7,5.5,,2026
357,Yves Missi,21,NOP,C,63,12,19.3,2.3,4.3,.536,0.0,0.0,.000,2.3,4.3,.538,.536,0.8,1.5,.558,2.7,3.0,5.7,1.3,0.3,1.5,0.8,1.7,5.5,,2026
358,Matisse Thybulle,28,POR,SG,24,0,14.3,1.8,4.1,.434,1.1,2.8,.403,0.7,1.3,.500,.571,0.8,0.9,.857,0.5,1.5,2.0,0.8,1.8,0.5,0.9,1.5,5.5,,2026
359,Nae'Qwan Tomlin,25,CLE,PF,58,2,15.2,2.2,4.7,.469,0.3,1.7,.204,1.9,3.0,.617,.505,0.7,1.0,.750,1.2,1.4,2.7,0.8,0.7,0.5,0.4,1.9,5.5,,2026
